Bandgap (eV),Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),J0 (mA/cm^2)
0.604,0.400499836065,62.0448745164,77.038184211,19.1431891759,1.16038627853e-05
0.605,0.401402749294,62.0084062984,77.0740677089,19.1840011791,1.11989926871e-05
0.606,0.402302909738,61.9650510772,77.109759328,19.2224762657,1.08081948573e-05
0.607,0.403200872462,61.9161536861,77.1449827251,19.2589727588,1.04309822371e-05
0.608,0.404098468485,61.8661099015,77.1798029753,19.2949509463,1.00668845469e-05
0.609,0.404995776459,61.8151115959,77.2142231473,19.3304719837,9.71544771116e-06
0.61,0.40589320177,61.7641306753,77.248260696,19.3658614455,9.37623330347e-06
0.611,0.406792118547,61.7164484876,77.2829994754,19.4024881015,9.04881800946e-06
0.612,0.407692926587,61.6730121618,77.3180460021,19.4405795074,8.73279310884e-06
0.613,0.408596444969,61.6357665247,77.3528217609,19.4806545949,8.42776397472e-06
0.614,0.409503894207,61.6076098592,77.3873862238,19.5237201866,8.13334959015e-06
0.615,0.410414912164,61.5876679282,77.4217418121,19.5695044966,7.84918208108e-06
0.616,0.411327371883,61.5708677772,77.4558160983,19.616292082,7.57490626532e-06
0.617,0.412239201563,61.5522747104,77.4896449,19.6624244202,7.31017921681e-06
0.618,0.413152243902,61.5362773479,77.5245475707,19.7097255152,7.05466984485e-06
0.619,0.414067123622,61.5243613248,77.5591848685,19.7583693506,6.80805848766e-06
0.62,0.414980419495,61.5083846823,77.5934392203,19.8055509914,6.57003651978e-06
0.621,0.415889219893,61.4814266406,77.6271954656,19.8488566836,6.34030597296e-06
0.622,0.416793377988,61.4431535747,77.6604319687,19.8881373204,6.11857916994e-06
0.623,0.417695614525,61.4000491226,77.6932423743,19.9256216848,5.90457837075e-06
0.624,0.418597860308,61.3567067496,77.7263525452,19.9630701784,5.69803543117e-06
0.625,0.419500701755,61.3145187145,77.7600246785,20.0010320172,5.49869147275e-06
0.626,0.420404528545,61.2744071707,77.7933855199,20.0396058725,5.30629656423e-06
0.627,0.421309568097,61.2369076536,77.8264484661,20.0789864232,5.12060941377e-06
0.628,0.422215930302,61.2022764287,77.8592235972,20.1192719081,4.94139707173e-06
0.629,0.423124354125,61.1722580747,77.8917461589,20.161088454,4.76843464367e-06
0.63,0.424035500443,61.1484098568,77.9240518893,20.2050026695,4.60150501314e-06
0.631,0.424949427583,61.1308633533,77.9573297044,20.2513851171,4.44039857388e-06
0.632,0.42586529843,61.1176349136,77.9905924251,20.2992976765,4.28491297135e-06
0.633,0.426782323117,61.1068555382,78.0235910835,20.3480264922,4.13485285297e-06
0.634,0.427700784707,61.0991937712,78.05634112,20.3978181933,3.99002962701e-06
0.635,0.428620033,61.0931127247,78.0888246291,20.4481303332,3.85026122966e-06
0.636,0.429538969216,61.0860163891,78.1210035661,20.4980330337,3.71537190014e-06
0.637,0.430458060276,61.0790091113,78.1528964799,20.5479218615,3.58519196352e-06
0.638,0.431378056636,61.0738645814,78.1854674453,20.5986846253,3.45955762094e-06
0.639,0.432299055179,61.0708120264,78.2181712289,20.650265452,3.33831074705e-06
0.64,0.433220706423,61.0690263838,78.2506135111,20.7022692951,3.22129869442e-06
0.641,0.434142558951,61.067442022,78.2827819567,20.7543120107,3.1083741046e-06
0.642,0.435064727723,61.0663312957,78.3146825614,20.8064935575,2.99939472573e-06
0.643,0.435987272378,61.0658358717,78.3463197664,20.858867152,2.89422323638e-06
0.644,0.436909987246,61.0654707225,78.3776881656,20.9112565802,2.79272707538e-06
0.645,0.437832815242,61.0651018151,78.4091969378,20.9637223869,2.69477827762e-06
0.646,0.438755806317,61.06484794,78.4412927641,21.0164277581,2.60025331535e-06
0.647,0.43967896432,61.0647189919,78.473123388,21.069148769,2.50903294505e-06
0.648,0.44060227377,61.0646791935,78.5046899871,21.1218725044,2.42100205946e-06
0.649,0.441525709253,61.0646693129,78.5359933194,21.174577204,2.33604954474e-06
0.65,0.442449258563,61.0646613061,78.5670344946,21.2272524729,2.25406814259e-06
0.651,0.443372922694,61.0646583056,78.5978150435,21.2798994325,2.17495431698e-06
0.652,0.444296700339,61.0646580067,78.6283364035,21.3325171833,2.09860812559e-06
0.653,0.445220587414,61.0646515457,78.6595974519,21.385373567,2.02493309561e-06
0.654,0.446144576613,61.0646224367,78.6908290868,21.4382541553,1.95383610379e-06
0.655,0.447068664505,61.0645633522,78.7218046106,21.4910942132,1.8852272607e-06
0.656,0.447992852783,61.0644790545,78.7525254825,21.5438953954,1.81901979886e-06
0.657,0.448917155193,61.0644027856,78.7829935701,21.5966701414,1.7551299648e-06
0.658,0.449841583998,61.0643642671,78.8132107351,21.6494296892,1.69347691483e-06
